00306.ppm;1047;420;1084;455;20
00306.ppm;353;471;389;505;20
00307.ppm;457;474;488;505;17
00307.ppm;795;454;827;487;17
00307.ppm;892;417;934;457;22
00307.ppm;829;453;862;486;38
00309.ppm;180;388;220;431;7
00309.ppm;1159;353;1203;398;7
00310.ppm;285;426;317;459;42
00310.ppm;1150;390;1188;427;42
00311.ppm;616;424;650;458;8
00311.ppm;1295;391;1329;425;8
00312.ppm;122;267;225;379;5
00312.ppm;1226;411;1249;433;22
00312.ppm;677;434;699;453;22
00313.ppm;369;414;424;470;6
00314.ppm;1213;398;1247;434;5
00314.ppm;396;451;429;485;5
00315.ppm;1267;373;1310;419;6
00315.ppm;172;414;213;462;6
00316.ppm;693;413;719;437;20
00316.ppm;696;436;719;458;3
00316.ppm;994;395;1022;420;20
00316.ppm;995;421;1020;445;3
00317.ppm;1122;378;1166;421;32
00318.ppm;631;451;657;477;15
00318.ppm;779;481;800;502;38
00319.ppm;1201;403;1248;450;3
00319.ppm;569;436;612;481;3
00320.ppm;175;438;202;466;32
00320.ppm;921;403;951;434;32
00322.ppm;1166;327;1209;370;5
00322.ppm;338;406;381;449;5
00323.ppm;398;437;425;464;10
00323.ppm;854;438;881;466;10
00330.ppm;1050;313;1116;381;2
00333.ppm;116;414;176;477;14
00333.ppm;753;387;808;445;14
00334.ppm;323;452;369;498;15
00334.ppm;760;435;797;472;2
00337.ppm;901;408;932;438;12
00338.ppm;504;397;538;427;26
00338.ppm;505;425;536;453;2
00338.ppm;998;397;1031;426;26
00338.ppm;1000;426;1029;453;2
00339.ppm;627;442;660;476;1
00339.ppm;969;414;1021;463;12
00340.ppm;827;543;851;567;14
00340.ppm;827;521;852;546;33
00340.ppm;827;543;851;567;14
00341.ppm;923;465;997;533;13
00343.ppm;802;531;829;558;15
00343.ppm;483;507;512;536;15
00344.ppm;799;413;879;494;12
00346.ppm;291;541;321;571;5
00346.ppm;883;542;911;570;5
00347.ppm;913;545;970;597;30
00348.ppm;952;524;990;562;5
00349.ppm;53;455;114;514;10
00349.ppm;1244;465;1312;534;10
00350.ppm;475;543;508;576;10
00350.ppm;1092;542;1125;573;10
00351.ppm;511;533;538;560;5
00352.ppm;969;549;996;576;6
00352.ppm;528;553;555;580;6
00353.ppm;836;554;860;578;10
00353.ppm;456;559;477;581;10
00355.ppm;474;537;507;570;10
00356.ppm;946;520;1004;573;30
00356.ppm;249;499;310;555;30
00357.ppm;1095;524;1130;560;10
00357.ppm;463;528;500;565;10
00358.ppm;316;490;374;549;8
00359.ppm;879;559;903;583;8
00359.ppm;467;560;492;585;8
00360.ppm;1032;484;1076;528;8
